1683722545.801202 client started (300290): version 3.2a, socket /tmp/tmux-1000/default, protocol 8
1683722545.801261 on Linux 6.2.0-76060200-generic #202302191831~1677858327~22.04~3cea1be SMP PREEMPT_DYNAMIC Fri M
1683722545.803728 sending message 112 to peer 0x556a52d9eed0 (12 bytes)
1683722545.803735 sending message 112 to peer 0x556a52d9eed0 (12 bytes)
1683722545.803742 sending message 112 to peer 0x556a52d9eed0 (12 bytes)
1683722545.803749 sending message 112 to peer 0x556a52d9eed0 (13 bytes)
1683722545.803755 sending message 112 to peer 0x556a52d9eed0 (13 bytes)
1683722545.803762 sending message 112 to peer 0x556a52d9eed0 (13 bytes)
1683722545.803769 sending message 112 to peer 0x556a52d9eed0 (8 bytes)
1683722545.803775 sending message 112 to peer 0x556a52d9eed0 (13 bytes)
1683722545.803782 sending message 112 to peer 0x556a52d9eed0 (13 bytes)
1683722545.803789 sending message 112 to peer 0x556a52d9eed0 (13 bytes)
1683722545.803795 sending message 112 to peer 0x556a52d9eed0 (13 bytes)
1683722545.803802 sending message 112 to peer 0x556a52d9eed0 (13 bytes)
1683722545.803808 sending message 112 to peer 0x556a52d9eed0 (12 bytes)
1683722545.803815 sending message 112 to peer 0x556a52d9eed0 (12 bytes)
1683722545.803822 sending message 112 to peer 0x556a52d9eed0 (12 bytes)
1683722545.803828 sending message 112 to peer 0x556a52d9eed0 (12 bytes)
1683722545.803835 sending message 112 to peer 0x556a52d9eed0 (13 bytes)
1683722545.803842 sending message 112 to peer 0x556a52d9eed0 (8 bytes)
1683722545.803849 sending message 112 to peer 0x556a52d9eed0 (13 bytes)
1683722545.803856 sending message 112 to peer 0x556a52d9eed0 (13 bytes)
1683722545.803862 sending message 112 to peer 0x556a52d9eed0 (13 bytes)
1683722545.803869 sending message 112 to peer 0x556a52d9eed0 (13 bytes)
1683722545.803876 sending message 112 to peer 0x556a52d9eed0 (13 bytes)
1683722545.803882 sending message 112 to peer 0x556a52d9eed0 (13 bytes)
1683722545.803889 sending message 112 to peer 0x556a52d9eed0 (13 bytes)
1683722545.803895 sending message 112 to peer 0x556a52d9eed0 (12 bytes)
